province,district,year,AK PARTİ,ANADOLU PARTİSİ,ANAP,ATP,BBP,BTP,CHP,DEHAP,DP,DSP,DYP,EMEP,GENÇ PARTİ,HAK-PAR,HAP,HAS PARTİ,HDP,HEPAR,HKP,HÜDA PAR,HYP,İP,İYİ PARTİ,KP,LDP,MEP,MHP,MİLLET PARTİSİ,MMP,ÖDP,SAADET PARTİSİ,TKP,TURK PARTİ,VATAN PARTİSİ,YTP,YURT-P,CUMHUR İTTİFAKI ,MİLLET İTTİFAKI ,BĞMZ
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2011, 5 509,-,-,-,  36,-, 1 631,-,  245,  8,  62,-,-,-,-,  105,-,  28,-,-,-,-,-,-,  15,-, 2 504,  19,  17,-,  133,  16,-,-,-,-,-,-,  17
ADANA,,,53.3,-,-,-,0.3,-,15.8,-,2.4,0.1,0.6,-,-,-,-,1.0,-,0.3,-,-,-,-,-,-,0.1,-,24.2,0.2,0.2,-,1.3,0.2,-,-,-,-,-,-,0.2
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2007, 4 610,-,-,-,-,  81, 1 371,-, 2 792,-,-,-,  238,-,-,-,-,-,-,-,  117,  35,-,-,-,-, 2 194,-,-,  28,  170,  26,-,-,-,-,-,-,  28
ADANA,,,39.4,-,-,-,-,0.7,11.7,-,23.9,-,-,-,2.0,-,-,-,-,-,-,-,1.0,0.3,-,-,-,-,18.8,-,-,0.2,1.5,0.2,-,-,-,-,-,-,0.2
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2002, 2 903,-, 1 474,-,  74,  34, 1 389,  69,-,  269, 2 522,-,  574,-,-,-,-,-,-,-,-,  30,-,-,  31,-, 1 127,  74,-,  15,  102,  18,-,-,  52,  123,-,-,  3
ADANA,,,26.7,-,13.5,-,0.7,0.3,12.8,0.6,-,2.5,23.2,-,5.3,-,-,-,-,-,-,-,-,0.3,-,-,0.3,-,10.3,0.7,-,0.1,0.9,0.2,-,-,0.5,1.1,-,-,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,    Ceyhan,2018, 28 443,-,-,-,-,-, 21 430,-,-,-,-,-,-,-,-,-, 15 444,-,-,  372,-,-, 12 238,-,-,-, 13 283,-,-,-,  779,-,-,  190,-,-,  846,  157,  42
ADANA,,,30.5,-,-,-,-,-,23.0,-,-,-,-,-,-,-,-,-,16.6,-,-,0.4,-,-,13.1,-,-,-,14.2,-,-,-,0.8,-,-,0.2,-,-,0.9,0.2,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (1 Kasım), 30 571,-,-,-,  302,  80, 25 589,-,  164,  58,-,-,-,  193,-,-, 14 256,-,  167,-,-,-,-,  39,  88,-, 20 155,  30,-,-,  439,-,-,  238,-,-,-,-,-
ADANA,,,33.1,-,-,-,0.3,0.1,27.7,-,0.2,0.1,-,-,-,0.2,-,-,15.4,-,0.2,-,-,-,-,0.0,0.1,-,21.8,0.0,-,-,0.5,-,-,0.3,-,-,-,-,-
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (7 Haziran), 23 598,  19,-,-,-,  144, 23 597,-,  173,  127,  99,-,-,  89,-,-, 16 683,-,  137,-,-,-,-,  14,  62,  30, 24 855,  33,-,-, 1 084,-,  152,  261,-,-,-,-,  154
ADANA,,,25.8,0.0,-,-,-,0.2,25.8,-,0.2,0.1,0.1,-,-,0.1,-,-,18.3,-,0.2,-,-,-,-,0.0,0.1,0.0,27.2,0.0,-,-,1.2,-,0.2,0.3,-,-,-,-,0.2
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2011, 31 514,-,-,-,  635,-, 25 041,-,  691,  220,  174,-,-,-,-,  342,-,  108,-,-,-,-,-,-,  21,-, 20 763,  163,  54,-,  669,  100,-,-,-,-,-,-, 9 325
ADANA,,,35.1,-,-,-,0.7,-,27.9,-,0.8,0.2,0.2,-,-,-,-,0.4,-,0.1,-,-,-,-,-,-,0.0,-,23.1,0.2,0.1,-,0.7,0.1,-,-,-,-,-,-,10.4
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2007, 24 725,-,-,-,-,  227, 12 868,-, 5 414,-,-,-, 1 867,-,-,-,-,-,-,-,  267,  280,-,-,-,-, 22 706,-,-,  138,  671,  108,-,-,-,-,-,-, 5 643
ADANA,,,33.0,-,-,-,-,0.3,17.2,-,7.2,-,-,-,2.5,-,-,-,-,-,-,-,0.4,0.4,-,-,-,-,30.3,-,-,0.2,0.9,0.1,-,-,-,-,-,-,7.5
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2002, 13 199,-, 3 523,-,  343,  160, 13 619, 8 458,-,  899, 13 680,-, 6 352,-,-,-,-,-,-,-,-,  346,-,-,  95,-, 11 047,  123,-,  446,  804,  76,-,-,  972,  836,-,-,  308
ADANA,,,17.5,-,4.7,-,0.4,0.2,18.1,11.2,-,1.2,18.2,-,8.4,-,-,-,-,-,-,-,-,0.5,-,-,0.1,-,14.7,0.2,-,0.6,1.1,0.1,-,-,1.3,1.1,-,-,0.4
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,    Çukurova,2018, 56 345,-,-,-,-,-, 89 387,-,-,-,-,-,-,-,-,-, 19 186,-,-,  356,-,-, 40 236,-,-,-, 23 610,-,-,-, 2 922,-,-,  447,-,-, 1 637,  713,  109
ADANA,,,24.0,-,-,-,-,-,38.0,-,-,-,-,-,-,-,-,-,8.2,-,-,0.2,-,-,17.1,-,-,-,10.0,-,-,-,1.2,-,-,0.2,-,-,0.7,0.3,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (1 Kasım), 63 175,-,-,-,  772,  172, 97 189,-,  255,  111,-,-,-,  313,-,-, 12 051,-,  196,-,-,-,-,  117,  93,-, 48 489,  116,-,-, 1 277,-,-,  778,-,-,-,-,-
ADANA,,,28.1,-,-,-,0.3,0.1,43.2,-,0.1,0.0,-,-,-,0.1,-,-,5.4,-,0.1,-,-,-,-,0.1,0.0,-,21.5,0.1,-,-,0.6,-,-,0.3,-,-,-,-,-
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (7 Haziran), 50 710,  167,-,-,-,  209, 89 376,-,  271,  227,  99,-,-,  66,-,-, 15 962,-,  115,-,-,-,-,  84,  123,  59, 56 490,  136,-,-, 3 218,-,  102, 1 258,-,-,-,-,  396
ADANA,,,23.1,0.1,-,-,-,0.1,40.8,-,0.1,0.1,0.0,-,-,0.0,-,-,7.3,-,0.1,-,-,-,-,0.0,0.1,0.0,25.8,0.1,-,-,1.5,-,0.0,0.6,-,-,-,-,0.2
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2011, 62 367,-,-,-,  822,-, 91 132,-,  887,  329,  258,-,-,-,-,  972,-,  569,-,-,-,-,-,-,  35,-, 48 825,  419,  85,-, 1 409,  262,-,-,-,-,-,-, 4 561
ADANA,,,29.3,-,-,-,0.4,-,42.8,-,0.4,0.2,0.1,-,-,-,-,0.5,-,0.3,-,-,-,-,-,-,0.0,-,22.9,0.2,0.0,-,0.7,0.1,-,-,-,-,-,-,2.1
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,    Feke,2018, 5 818,-,-,-,-,-, 1 326,-,-,-,-,-,-,-,-,-,  44,-,-,  57,-,-, 1 449,-,-,-, 1 626,-,-,-,  128,-,-,  43,-,-,  114,  20,  7
ADANA,,,54.7,-,-,-,-,-,12.5,-,-,-,-,-,-,-,-,-,0.4,-,-,0.5,-,-,13.6,-,-,-,15.3,-,-,-,1.2,-,-,0.4,-,-,1.1,0.2,0.1
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (1 Kasım), 5 594,-,-,-,  94,  22, 1 549,-,  38,  13,-,-,-,  55,-,-,  28,-,  63,-,-,-,-,  16,  8,-, 2 615,  3,-,-,  102,-,-,  29,-,-,-,-,-
ADANA,,,54.7,-,-,-,0.9,0.2,15.1,-,0.4,0.1,-,-,-,0.5,-,-,0.3,-,0.6,-,-,-,-,0.2,0.1,-,25.6,0.0,-,-,1.0,-,-,0.3,-,-,-,-,-
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (7 Haziran), 4 720,  5,-,-,-,  23, 1 538,-,  28,  30,  14,-,-,  36,-,-,  67,-,  47,-,-,-,-,  1,  17,  16, 3 162,  8,-,-,  210,-,  88,  26,-,-,-,-,  4
ADANA,,,47.0,0.0,-,-,-,0.2,15.3,-,0.3,0.3,0.1,-,-,0.4,-,-,0.7,-,0.5,-,-,-,-,0.0,0.2,0.2,31.5,0.1,-,-,2.1,-,0.9,0.3,-,-,-,-,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
