state.id contracting gov.influence leg.influence elect.board years.tenure education party.ID category2 category3 category4 category5 category6 category7 category8 category9 category10 category11 category12 med.time medt.contr grp.influence
8 2 21 17 0 2.36996856287449 5 1 0 1 0 0 0 0 0 0 0 0 0 0 0 8
8 4 16 14 0 2.67743675563415 5 2 0 0 0 0 0 0 0 0 0 0 1 0 0 12
8 2 12 14 1 1.05377781672269 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 8
8 1 8 8 0 2.57679859928721 3 1 0 0 1 0 0 0 0 0 0 0 0 1 1 10
8 0 21 20 0 15.7863603248369 4 2 0 0 0 0 0 0 0 1 0 0 0 1 0 8
9 3 21 21 0 1.56946093274192 5 5 1 0 0 0 0 0 0 0 0 0 0 0 0 9
9 6 18 21 0 1.99673592796554 5 5 0 0 1 0 0 0 0 0 0 0 0 1 6 14
9 1 13 19 0 6.08414768956565 2 2 0 0 0 0 0 0 0 0 0 0 0 1 1 9
9 0 18 16 0 1.60598901880321 5 5 0 0 0 0 0 0 0 1 0 0 0 1 0 12
9 2 13 18 0 4.78214420862203 4 4 0 0 0 0 0 1 0 0 0 0 0 0 0 15
9 3 18 20 0 1.40391472461823 5 5 0 0 0 0 1 0 0 0 0 0 0 1 3 15
9 4 19 21 0 1.71578569599235 5 2 0 0 0 0 0 0 1 0 0 0 0 1 4 12
9 0 21 21 0 3.7686696768392 5 5 0 0 0 0 0 0 0 0 0 1 0 1 0 11
9 2 18 21 0 6.09376234173538 4 1 0 0 0 0 0 0 0 0 0 1 0 0 0 9
9 0 10 12 0 1.93392500346688 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5
9 2 20 19 0 4.25287699640508 4 1 0 0 0 0 0 0 1 0 0 0 0 0 0 14
9 0 7 17 0 6.20735411288875 4 1 0 0 0 0 0 0 0 0 1 0 0 0 0 15
9 1 15 17 0 1.25918272978711 1 4 0 0 0 0 0 0 0 0 1 0 0 1 1 11
10 2 21 21 0 1.7700925313068 5 5 1 0 0 0 0 0 0 0 0 0 0 0 0 5
10 0 18 12 1 1.67335824529992 5 3 0 0 0 1 0 0 0 0 0 0 0 0 0 4
10 0 21 19 0 6.0274115868988 3 2 0 0 0 0 0 0 0 1 0 0 0 0 0 10
10 6 20 20 0 3.36891637878041 5 1 0 0 0 0 1 0 0 0 0 0 0 0 0 8
10 0 21 17 0 0.846645981022806 5 5 0 1 0 0 0 0 0 0 0 0 0 0 0 3
10 6 15 14 0 2.00972789466926 4 5 0 0 0 0 0 0 1 0 0 0 0 1 6 14
10 3 21 19 0 3.1446986803539 4 5 0 0 0 0 0 0 1 0 0 0 0 1 3 11
10 3 18 9 1 10.6783056262144 5 1 0 0 0 0 0 0 0 0 0 0 0 1 3 3
10 4 19 19 0 6.837338011774 5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 11
10 3 21 18 0 1.95551882804246 3 1 0 0 1 0 0 0 0 0 0 0 0 0 0 12
10 0 17 12 0 2.74103393736195 5 2 0 0 0 0 0 0 0 0 0 1 0 1 0 8
10 2 20 19 0 0.384917150345538 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 11
10 1 12 13 1 3.00321450596102 5 1 0 0 0 1 0 0 0 0 0 0 0 0 0 5
10 2 18 21 0 2.35876637633248 5 5 0 0 0 0 0 0 0 0 1 0 0 1 2 12
11 0 3 12 1 6.25951125375671 3 4 0 0 0 0 0 0 0 1 0 0 0 1 0 18
11 6 12 12 0 6.05934337414585 5 5 0 0 0 0 0 0 0 0 0 1 0 1 6 13
11 2 19 13 0 2.05801923943048 5 3 0 0 0 0 0 0 0 1 0 0 0 0 0 15
11 0 21 17 0 4.40035050192196 1 5 0 0 0 0 0 0 0 1 0 0 0 0 0 11
11 1 16 21 1 5.30956272432881 5 1 0 0 0 1 0 0 0 0 0 0 0 1 1 11
11 6 18 18 0 7.19697148311921 5 1 0 0 0 0 0 0 0 0 0 0 1 0 0 5
11 2 21 21 1 0.89065034841958 5 3 0 0 0 0 0 0 0 1 0 0 0 1 2 18
11 3 21 19 0 5.17104015812547 3 5 0 0 0 0 0 0 0 0 1 0 0 1 3 15
11 0 18 18 1 0.872256980403855 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 12
11 2 14 14 0 5.37137658629872 5 5 0 0 0 0 0 0 0 0 0 1 0 1 2 8
11 1 18 15 0 2.29056260086832 5 1 0 0 0 0 0 0 0 0 0 1 0 0 0 15
11 6 15 10 0 14.0417301286733 3 1 0 0 1 0 0 0 0 0 0 0 0 1 6 6
11 6 21 13 0 2.18843588388 5 5 0 0 0 0 0 0 0 0 0 1 0 0 0 8
11 1 17 17 0 2.00654656608168 5 1 0 0 0 0 0 0 0 0 0 1 0 0 0 10
11 2 13 18 0 6.21912452583533 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 8
11 1 11 11 1 8.60255701105523 5 1 0 0 0 0 0 0 0 0 1 0 0 0 0 3
11 3 16 21 0 20.928584745167 5 2 0 0 0 0 0 0 0 0 1 0 0 0 0 13
12 5 19 16 1 1.71521728720852 1 5 0 0 0 0 0 0 0 0 1 0 0 0 0 16
12 2 18 18 1 2.26004913459418 5 1 0 0 0 0 0 1 0 0 0 0 0 0 0 16
12 2 12 13 0 4.04759355444573 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 8
12 1 18 19 0 2.33759316418554 4 5 0 0 0 0 0 0 0 0 0 0 1 0 0 10
12 0 16 16 0 3.99478368081395 5 4 0 0 0 0 0 1 0 0 0 0 0 1 0 10
12 1 17 17 0 4.96026099091062 3 2 0 0 0 0 0 0 1 0 0 0 0 0 0 14
12 0 18 18 0 0.612558646242471 4 5 1 0 0 0 0 0 0 0 0 0 0 0 0 10
12 6 18 17 1 0.75484328269459 3 3 0 0 0 0 0 0 0 0 0 0 1 1 6 6
12 6 20 18 0 1.82709668976639 5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 9
12 4 18 18 0 4.11084709594752 5 1 0 0 0 0 0 1 0 0 0 0 0 0 0 17
12 6 21 18 0 1.6063434489503 3 5 0 0 0 0 0 0 0 1 0 0 0 0 0 7
12 0 21 16 0 1.91947886648381 5 5 1 0 0 0 0 0 0 0 0 0 0 0 0 8
13 1 17 13 0 3.54155959449992 5 1 0 0 0 0 0 0 0 0 0 1 0 0 0 10
13 0 21 12 0 3.22376235636069 5 1 0 0 0 0 0 0 1 0 0 0 0 0 0 11
13 6 19 18 0 1.56573360198039 5 1 0 0 0 0 0 0 0 0 0 0 1 1 6 6
13 3 18 12 0 4.80434397621193 5 3 0 0 0 0 0 0 1 0 0 0 0 1 3 14
13 3 21 15 0 5.33174635404091 5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 9
13 0 21 11 1 22.7084059698159 5 4 0 0 0 0 0 0 0 0 0 1 0 1 0 5
13 2 9 14 1 5.51132653379009 4 2 0 0 0 0 0 1 0 0 0 0 0 0 0 11
14 3 20 16 0 1.53961457815438 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 11
14 4 11 20 0 3.05710924950329 3 5 0 0 0 0 0 0 0 0 1 0 0 1 4 4
14 1 16 14 0 0.904649013868218 5 5 0 0 0 0 0 0 0 1 0 0 0 0 0 7
14 2 21 18 0 3.31379975334942 3 5 0 0 0 0 0 1 0 0 0 0 0 1 3 12
14 1 9 10 0 1.97247865912478 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 12
14 1 7 8 1 6.7565480323591 5 5 0 0 0 0 0 0 0 0 0 0 0 1 1 7
14 2 16 18 0 3.97358653033492 5 5 0 0 0 0 0 0 0 0 1 0 0 0 0 6
14 2 17 12 0 0.581948043659585 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 6
14 6 18 14 0 0.922825993375338 3 5 0 0 0 0 0 0 0 1 0 0 0 0 4 12
15 4 17 13 0 7.6139961810958 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 17
15 6 15 16 0 0.816316494502941 3 1 0 0 1 0 0 0 0 0 0 0 0 1 6 10
15 1 16 21 0 13.0697720529776 5 1 0 0 0 0 0 0 0 0 0 1 0 0 0 8
15 2 8 9 0 0.999452754865166 3 3 0 0 0 0 0 1 0 0 0 0 0 0 0 9
15 6 19 17 0 1.10231077960978 5 1 0 0 0 0 1 0 0 0 0 0 0 1 6 16
15 0 18 18 1 0.727902958936551 3 3 0 0 0 1 0 0 0 0 0 0 0 0 0 8
15 2 19 17 0 3.79049297381488 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 10
15 0 18 21 1 5.03052595258796 5 4 0 1 0 0 0 0 0 0 0 0 0 0 0 12
15 0 17 18 0 3.03248207942793 5 1 0 0 0 0 0 0 0 0 0 1 0 0 0 13
15 0 17 20 0 2.31669215605462 5 5 0 0 0 0 0 0 0 0 0 1 0 0 0 17
15 0 19 12 0 0.0686285732495144 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 11
15 1 13 14 0 5.23633317333198 5 2 0 0 0 0 0 1 0 0 0 0 0 0 0 8
15 1 12 12 0 3.14468055959013 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3
15 6 17 18 0 2.09872950093911 4 1 0 0 0 0 0 0 0 0 0 0 1 1 6 17
